total_uses,average_uses,hour,rush_hour,working_hour,school_exit_time,school_exit_time2
108,4.6957,0,false,false,false,false
53,2.3043,1,false,false,false,false
112,4.8696,2,false,false,false,false
113,4.9130,3,false,false,false,false
166,7.2174,4,false,false,false,false
93,4.0435,5,false,false,false,false
46,2.0000,6,false,false,false,false
207,9.0000,7,true,false,false,false
300,13.0435,8,true,false,false,false
204,8.8696,9,true,true,false,false
257,11.1739,10,false,true,false,false
385,16.7391,11,false,true,false,false
532,23.1304,12,false,true,true,false
411,17.8696,13,false,true,true,false
282,12.2609,14,false,true,true,false
731,31.7826,15,false,true,false,false
719,31.2609,16,false,true,false,true
529,23.0000,17,false,true,false,true
477,20.7391,18,true,true,false,false
449,19.5217,19,true,false,false,false
588,25.5652,20,false,false,false,false
330,14.3478,21,false,false,false,false
166,7.2174,22,false,false,false,false
309,12.8750,23,false,false,false,false
